,line_type,glac_id,anlys_time,src_date,db_area,min_elev,mean_elev,max_elev,primeclass,rec_status,release_dt,gone_date,glac_name,glac_stat,proc_desc,geog_area,conn_lvl,surge_type,term_type,gtng_o1reg,gtng_o2reg,rgi_gl_typ,cluster
40701,glac_bound,G224547E58953N,1262304000,1284595200,0.023515,0,0,0,0,okay,1313438640,e,1008,exists,"Automated and manual digitizing. Basin delineation was aided by an algorithm developed by C. Kienholz.; Landsat ETM+ images (LE70590192010259EDC00 and LE70600192010266EDC01) were downloaded from the USGS Earth Explorer (http://edcsns17.cr.usgs.gov/NewEarthExplorer/) and run through a de-striping algorithm.  This algorithm uses a 7x7 moving window to fill in the missing data based on weighted averages.  This does not fix the data but does create a continuous dataset needed for the automated analysis.  Landsat ETM+ scenes were used to run an automated analysis that used a band3/band5 ratio, a thermal image converted from radiance to surface temperature and NDVI, in order to capture ice extent.  This worked well at identifying bare ice but ran into problems with heavily debris covered ice.  Extensive manual digitizing of the automated dataset was carried out in order to fix mis-classified areas and capture debris covered ice.  The resulting dataset was run through a script (written by Christian Kienholz, University of Bern, 2009-09-18) which delineated glaciers by drainage basin based on the National Elevation Dataset.  The resulting basins were then manually edited to fix errors and better represent reality.",Alaska,0,0,9,1,6,0,51
38704,glac_bound,G209686E63118N,1302825600,-599616000,-0,0,0,0,0,okay,1305230445,e,1008,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
39953,glac_bound,G224550E58959N,1262304000,1284595200,0.02152,0,0,0,0,okay,1313438640,e,1010,exists,"Automated and manual digitizing. Basin delineation was aided by an algorithm developed by C. Kienholz.; Landsat ETM+ images (LE70590192010259EDC00 and LE70600192010266EDC01) were downloaded from the USGS Earth Explorer (http://edcsns17.cr.usgs.gov/NewEarthExplorer/) and run through a de-striping algorithm.  This algorithm uses a 7x7 moving window to fill in the missing data based on weighted averages.  This does not fix the data but does create a continuous dataset needed for the automated analysis.  Landsat ETM+ scenes were used to run an automated analysis that used a band3/band5 ratio, a thermal image converted from radiance to surface temperature and NDVI, in order to capture ice extent.  This worked well at identifying bare ice but ran into problems with heavily debris covered ice.  Extensive manual digitizing of the automated dataset was carried out in order to fix mis-classified areas and capture debris covered ice.  The resulting dataset was run through a script (written by Christian Kienholz, University of Bern, 2009-09-18) which delineated glaciers by drainage basin based on the National Elevation Dataset.  The resulting basins were then manually edited to fix errors and better represent reality.",Alaska,0,0,9,1,6,0,51
39029,glac_bound,G209663E63112N,1302825600,-599616000,0,0,0,0,0,okay,1305230445,e,1010,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
42509,glac_bound,G211481E61043N,1263513600,1184544000,0,0,0,0,0,okay,1269471019,e,108,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,66
38806,glac_bound,G208393E62610N,1302825600,-536457600,0.37791,0,0,0,0,okay,1305230445,e,108,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
43277,glac_bound,G207482E62404N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,11,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39661,glac_bound,G209424E63034N,1302825600,-473385600,0.011755,0,0,0,0,okay,1305230445,e,11,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
42428,glac_bound,G212773E61633N,1263513600,1184544000,0,0,0,0,0,okay,1269471019,e,110,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,58
39530,glac_bound,G208444E62639N,1302825600,-536457600,0.491986,0,0,0,0,okay,1305230445,e,110,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
43176,glac_bound,G208582E62574N,1262304000,1060387200,0.230809,0,0,0,0,okay,1299393082,e,112,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
42463,glac_bound,G213058E61576N,1263513600,1184544000,0,0,0,0,0,okay,1269471019,e,112,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,29
42510,glac_bound,G213024E61598N,1263513600,1184544000,0,0,0,0,0,okay,1269471019,e,114,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,29
39615,glac_bound,G208606E62770N,1302825600,-568080000,1.51492,0,0,0,0,okay,1305230445,e,114,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
43353,glac_bound,G208613E62763N,1262304000,1060387200,0.249192,0,0,0,0,okay,1299393082,e,115,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
42464,glac_bound,G213059E61589N,1263513600,1184544000,0,0,0,0,0,okay,1269471019,e,115,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,29
39591,glac_bound,G208613E62763N,1302825600,-568080000,5.12332,0,0,0,0,okay,1305230445,e,115,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
43370,glac_bound,G208556E62595N,1262304000,1060387200,0.241156,0,0,0,0,okay,1299393082,e,119,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
39037,glac_bound,G208558E62721N,1302825600,-536457600,5.01463,0,0,0,0,okay,1305230445,e,119,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
42776,glac_bound,G207322E62416N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,12,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39069,glac_bound,G209427E63031N,1302825600,-473385600,0.007697,0,0,0,0,okay,1305230445,e,12,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
42675,glac_bound,G208524E62616N,1262304000,1060387200,0.023405,0,0,0,0,okay,1299393082,e,128,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
39413,glac_bound,G208396E62580N,1302825600,-536457600,0.114901,0,0,0,0,okay,1305230445,e,128,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
43317,glac_bound,G208371E62620N,1262304000,1060387200,0.123161,0,0,0,0,okay,1299393082,e,137,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
39345,glac_bound,G207931E62521N,1302825600,-568080000,0.049927,0,0,0,0,okay,1305230445,e,137,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,88
43143,glac_bound,G207168E62413N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,14,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
42515,glac_bound,G212177E61566N,1263513600,1184544000,1.61523,0,0,0,0,okay,1269471019,e,14,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,5
39196,glac_bound,G209420E63012N,1302825600,-473385600,0.017908,0,0,0,0,okay,1305230445,e,14,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
42962,glac_bound,G208611E62756N,1262304000,1060387200,0.589913,0,0,0,0,okay,1299393082,e,143,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
39463,glac_bound,G207983E62533N,1302825600,-568080000,0.105635,0,0,0,0,okay,1305230445,e,143,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,88
43033,glac_bound,G207168E62424N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,15,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39647,glac_bound,G209411E62993N,1302825600,-504921600,0.014133,0,0,0,0,okay,1305230445,e,15,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
43054,glac_bound,G208457E62630N,1262304000,1060387200,0.16272,0,0,0,0,okay,1299393082,e,153,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,12
38778,glac_bound,G207706E62516N,1302825600,-568080000,0.095336,0,0,0,0,okay,1305230445,e,153,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,88
43342,glac_bound,G207161E62433N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,16,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39092,glac_bound,G210136E63404N,1302825600,-568080000,1.03069,0,0,0,0,okay,1305230445,e,16,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,47
42631,glac_bound,G207921E62550N,1262304000,1060387200,0.199971,0,0,0,0,okay,1299393082,e,162,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,88
39234,glac_bound,G207643E62514N,1302825600,-568080000,0.075192,0,0,0,0,okay,1305230445,e,162,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,88
43287,glac_bound,G207454E62427N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,18,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
38999,glac_bound,G210144E63393N,1302825600,-568080000,0.164232,0,0,0,0,okay,1305230445,e,18,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,47
43059,glac_bound,G209195E62861N,1262304000,1060387200,0.50537,0,0,0,0,okay,1299393082,e,184,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,95
39444,glac_bound,G209476E62820N,1302825600,-504921600,0.496817,0,0,0,0,okay,1305230445,e,184,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
42747,glac_bound,G207458E62431N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,19,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39047,glac_bound,G210132E63368N,1302825600,-568080000,0.125358,0,0,0,0,okay,1305230445,e,19,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,47
42692,glac_bound,G207280E62413N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,2,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39076,glac_bound,G207990E62856N,1302825600,-568080000,0.180568,0,0,0,0,okay,1305230445,e,2,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,88
43128,glac_bound,G209517E62918N,1262304000,1060387200,1.00251,0,0,0,0,okay,1299393082,e,211,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,95
39667,glac_bound,G210288E63331N,1302825600,-568080000,0.137204,0,0,0,0,okay,1305230445,e,211,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,47
42980,glac_bound,G209538E62916N,1262304000,1060387200,0.217656,0,0,0,0,okay,1299393082,e,212,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,95
